step,phase,ee_x,ee_y,ee_z,joint_base,joint_shoulder,joint_elbow,joint_wrist_pitch,joint_wrist_roll,joint_left_finger,joint_right_finger
80,joint0_neg,-0.07631543278694153,-0.02571428380906582,0.33351585268974304,0.32500001788139343,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
81,joint0_neg,-0.07652705907821655,-0.0250774584710598,0.33351585268974304,0.31666669249534607,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
82,joint0_neg,-0.07673337310552597,-0.024438856169581413,0.33351585268974304,0.3083333671092987,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
83,joint0_neg,-0.07693436741828918,-0.02379857935011387,0.33351585268974304,0.30000004172325134,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
84,joint0_neg,-0.077130027115345,-0.02315662056207657,0.33351585268974304,0.291666716337204,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
85,joint0_neg,-0.07732030749320984,-0.022513078525662422,0.33351585268974304,0.2833333909511566,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
86,joint0_neg,-0.07750522345304489,-0.021867960691452026,0.33351585268974304,0.27500006556510925,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
87,joint0_neg,-0.07768476009368896,-0.021221362054347992,0.33351582288742065,0.2666667401790619,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
88,joint0_neg,-0.07785891741514206,-0.020573249086737633,0.33351588249206543,0.2583334147930145,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
89,joint0_neg,-0.0780276507139206,-0.019923724234104156,0.33351585268974304,0.25000008940696716,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
90,joint0_neg,-0.07819097489118576,-0.01927279122173786,0.33351582288742065,0.2416667491197586,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
91,joint0_neg,-0.07834887504577637,-0.018620528280735016,0.33351588249206543,0.23333340883255005,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
92,joint0_neg,-0.07850132882595062,-0.017966963350772858,0.33351585268974304,0.2250000685453415,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
93,joint0_neg,-0.07864830642938614,-0.017312193289399147,0.33351585268974304,0.21666672825813293,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
94,joint0_neg,-0.0787898600101471,-0.016656192019581795,0.33351585268974304,0.20833338797092438,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
95,joint0_neg,-0.07892591506242752,-0.015999045222997665,0.33351585268974304,0.20000004768371582,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
96,joint0_neg,-0.079056516289711,-0.015340768732130527,0.33351585268974304,0.19166670739650726,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
97,joint0_neg,-0.07918158173561096,-0.014681448228657246,0.33351582288742065,0.1833333671092987,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
98,joint0_neg,-0.07930117845535278,-0.014021126553416252,0.33351582288742065,0.17500002682209015,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
99,joint0_neg,-0.07941527664661407,-0.013359801843762398,0.33351582288742065,0.1666666865348816,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
100,joint0_neg,-0.07952384650707245,-0.012697567231953144,0.33351585268974304,0.15833334624767303,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
101,joint0_neg,-0.0796269029378891,-0.012034398503601551,0.33351585268974304,0.15000000596046448,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
102,joint0_neg,-0.07972441613674164,-0.01137043721973896,0.33351585268974304,0.14166666567325592,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
103,joint0_neg,-0.07981640100479126,-0.010705651715397835,0.33351585268974304,0.13333332538604736,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
104,joint0_neg,-0.07990285009145737,-0.01004017423838377,0.33351588249206543,0.1249999925494194,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
105,joint0_neg,-0.07998374104499817,-0.009373974055051804,0.33351585268974304,0.11666665971279144,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
106,joint0_neg,-0.08005906641483307,-0.008707144297659397,0.33351585268974304,0.10833332687616348,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
107,joint0_neg,-0.08012885600328445,-0.008039668202400208,0.33351585268974304,0.09999999403953552,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
108,joint0_neg,-0.08019305765628815,-0.007371662650257349,0.33351582288742065,0.09166666120290756,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
109,joint0_neg,-0.08025170862674713,-0.006703124847263098,0.33351582288742065,0.0833333283662796,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
110,joint0_neg,-0.08030477911233902,-0.0060341618955135345,0.33351585268974304,0.07499999552965164,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
111,joint0_neg,-0.08035227656364441,-0.00536474771797657,0.33351582288742065,0.06666666269302368,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
112,joint0_neg,-0.0803941935300827,-0.004694979637861252,0.33351585268974304,0.05833332985639572,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
113,joint0_neg,-0.08042106032371521,-0.004192833323031664,0.3335121273994446,0.0520891509950161,3.547592132235877e-05,-1.0470792055130005,-3.936583198083099e-06,-0.0013720213901251554,0.26024386286735535,-0.25928935408592224
114,joint0_neg,-0.0804048478603363,-0.004195310175418854,0.3334978222846985,0.05213030055165291,0.00031815128750167787,-1.047654628753662,0.00021019938867539167,-0.006659299600869417,0.2608669400215149,-0.2568899095058441
115,joint0_neg,-0.08036589622497559,-0.0042011551558971405,0.3334828019142151,0.052228040993213654,0.0008675395511090755,-1.0487251281738281,0.0008323763031512499,-0.011661107651889324,0.2608928680419922,-0.2551514506340027
116,joint0_neg,-0.08029918372631073,-0.004210302606225014,0.3334640860557556,0.05238525941967964,0.001760778366588056,-1.0504446029663086,0.0019409623928368092,-0.0164042878895998,0.2602517902851105,-0.254012793302536
